"maxclustersize","ntips","nhybrids","Network","level","treechild","name"
3,14,1,"simulated",1,TRUE,"sim_1560"
3,38,1,"simulated",1,TRUE,"sim_1561"
4,52,7,"simulated",7,FALSE,"sim_1562"
3,11,1,"simulated",1,TRUE,"sim_1565"
4,39,4,"simulated",3,FALSE,"sim_1566"
3,20,2,"simulated",2,TRUE,"sim_1567"
3,41,2,"simulated",1,TRUE,"sim_1569"
5,57,7,"simulated",7,FALSE,"sim_1570"
5,100,9,"simulated",8,FALSE,"sim_1573"
3,17,2,"simulated",1,TRUE,"sim_1574"
3,42,1,"simulated",1,TRUE,"sim_1575"
4,80,9,"simulated",5,FALSE,"sim_1577"
4,80,7,"simulated",5,TRUE,"sim_1578"
3,10,1,"simulated",1,TRUE,"sim_1579"
3,16,4,"simulated",2,TRUE,"sim_1580"
4,67,5,"simulated",5,TRUE,"sim_1582"
4,45,4,"simulated",2,TRUE,"sim_1583"
4,63,4,"simulated",3,FALSE,"sim_1587"
4,35,4,"simulated",4,FALSE,"sim_1588"
3,14,3,"simulated",2,TRUE,"sim_1589"
3,8,1,"simulated",1,TRUE,"sim_1591"
3,4,1,"simulated",1,TRUE,"sim_1593"
3,11,1,"simulated",1,TRUE,"sim_1594"
4,36,5,"simulated",5,FALSE,"sim_1598"
3,33,2,"simulated",2,FALSE,"sim_1599"
3,25,3,"simulated",2,TRUE,"sim_1603"
3,14,1,"simulated",1,TRUE,"sim_1604"
3,14,1,"simulated",1,TRUE,"sim_1606"
5,87,9,"simulated",9,FALSE,"sim_1609"
3,38,2,"simulated",1,TRUE,"sim_1610"
3,55,2,"simulated",2,TRUE,"sim_1611"
3,72,3,"simulated",2,TRUE,"sim_1612"
3,43,2,"simulated",2,TRUE,"sim_1613"
3,49,3,"simulated",3,TRUE,"sim_1617"
5,69,10,"simulated",10,FALSE,"sim_1619"
3,39,1,"simulated",1,TRUE,"sim_1623"
3,77,4,"simulated",2,TRUE,"sim_1624"
3,25,1,"simulated",1,TRUE,"sim_1625"
5,53,9,"simulated",9,FALSE,"sim_1627"
4,71,4,"simulated",4,TRUE,"sim_1628"
3,14,1,"simulated",1,TRUE,"sim_1630"
3,44,3,"simulated",3,TRUE,"sim_1631"
3,13,1,"simulated",1,TRUE,"sim_1632"
3,9,1,"simulated",1,TRUE,"sim_1634"
4,48,5,"simulated",5,TRUE,"sim_1635"
3,75,3,"simulated",1,TRUE,"sim_1637"
3,11,1,"simulated",1,TRUE,"sim_1638"
4,27,3,"simulated",2,FALSE,"sim_1639"
3,38,4,"simulated",3,TRUE,"sim_1640"
3,21,2,"simulated",2,FALSE,"sim_1641"
6,96,15,"simulated",15,FALSE,"sim_1645"
3,22,2,"simulated",1,TRUE,"sim_1646"
3,35,2,"simulated",1,TRUE,"sim_1647"
6,91,11,"simulated",11,FALSE,"sim_1648"
3,46,1,"simulated",1,TRUE,"sim_1651"
3,31,1,"simulated",1,TRUE,"sim_1654"
3,35,2,"simulated",2,TRUE,"sim_1657"
3,39,3,"simulated",3,FALSE,"sim_1658"
3,23,1,"simulated",1,TRUE,"sim_1659"
3,21,1,"simulated",1,TRUE,"sim_1660"
3,16,2,"simulated",2,TRUE,"sim_1662"
3,12,1,"simulated",1,TRUE,"sim_1663"
3,43,2,"simulated",1,TRUE,"sim_1664"
4,53,4,"simulated",2,FALSE,"sim_1667"
3,20,2,"simulated",1,FALSE,"sim_1670"
3,29,2,"simulated",1,TRUE,"sim_1671"
3,46,4,"simulated",3,TRUE,"sim_1672"
3,44,2,"simulated",1,TRUE,"sim_1673"
3,38,3,"simulated",3,TRUE,"sim_1674"
3,18,1,"simulated",1,TRUE,"sim_1676"
3,49,1,"simulated",1,TRUE,"sim_1680"
3,8,1,"simulated",1,TRUE,"sim_1682"
4,42,6,"simulated",6,FALSE,"sim_1684"
3,43,3,"simulated",2,TRUE,"sim_1685"
3,46,2,"simulated",2,TRUE,"sim_1687"
4,51,8,"simulated",7,FALSE,"sim_1688"
3,51,4,"simulated",4,TRUE,"sim_1689"
7,89,14,"simulated",13,FALSE,"sim_1691"
4,70,6,"simulated",6,TRUE,"sim_1692"
3,17,2,"simulated",1,TRUE,"sim_1694"
4,34,3,"simulated",2,TRUE,"sim_1695"
3,29,3,"simulated",2,TRUE,"sim_1696"
3,19,2,"simulated",1,TRUE,"sim_1697"
3,8,1,"simulated",1,TRUE,"sim_1699"
5,75,12,"simulated",10,TRUE,"sim_1701"
4,56,7,"simulated",6,TRUE,"sim_1705"
3,39,4,"simulated",1,TRUE,"sim_1707"
3,14,1,"simulated",1,TRUE,"sim_1708"
6,70,13,"simulated",12,FALSE,"sim_1709"
3,44,3,"simulated",1,TRUE,"sim_1710"
3,28,2,"simulated",2,TRUE,"sim_1714"
3,27,2,"simulated",2,TRUE,"sim_1716"
3,16,1,"simulated",1,TRUE,"sim_1718"
4,37,5,"simulated",4,TRUE,"sim_1719"
4,43,5,"simulated",4,TRUE,"sim_1720"
3,34,2,"simulated",1,TRUE,"sim_1721"
3,24,1,"simulated",1,TRUE,"sim_1722"
3,37,1,"simulated",1,TRUE,"sim_1724"
4,62,6,"simulated",5,TRUE,"sim_1727"
3,13,1,"simulated",1,TRUE,"sim_1728"
3,62,1,"simulated",1,TRUE,"sim_1729"
4,58,5,"simulated",4,TRUE,"sim_1730"
7,108,20,"simulated",19,FALSE,"sim_1731"
5,129,21,"simulated",18,FALSE,"sim_1733"
4,39,3,"simulated",3,TRUE,"sim_1734"
4,45,4,"simulated",3,TRUE,"sim_1737"
3,14,2,"simulated",1,TRUE,"sim_1738"
5,86,15,"simulated",12,FALSE,"sim_1741"
3,52,6,"simulated",2,TRUE,"sim_1745"
3,55,1,"simulated",1,TRUE,"sim_1746"
3,22,1,"simulated",1,TRUE,"sim_1747"
6,108,20,"simulated",20,FALSE,"sim_1750"
5,71,9,"simulated",7,FALSE,"sim_1751"
7,99,13,"simulated",13,FALSE,"sim_1752"
3,40,3,"simulated",3,TRUE,"sim_1754"
5,31,6,"simulated",6,TRUE,"sim_1756"
7,102,22,"simulated",22,FALSE,"sim_1757"
4,69,5,"simulated",5,TRUE,"sim_1759"
22,261,71,"simulated",71,FALSE,"sim_1760"
3,23,2,"simulated",2,TRUE,"sim_1761"
3,41,3,"simulated",1,FALSE,"sim_1762"
3,24,2,"simulated",1,TRUE,"sim_1764"
5,101,13,"simulated",12,FALSE,"sim_1767"
4,34,4,"simulated",4,TRUE,"sim_1768"
5,76,8,"simulated",7,FALSE,"sim_1769"
3,17,1,"simulated",1,TRUE,"sim_1770"
4,36,6,"simulated",6,FALSE,"sim_1773"
3,51,4,"simulated",2,FALSE,"sim_1774"
3,21,2,"simulated",1,TRUE,"sim_1776"
3,37,4,"simulated",2,FALSE,"sim_1777"
3,43,3,"simulated",1,TRUE,"sim_1779"
4,56,6,"simulated",4,TRUE,"sim_1782"
6,63,13,"simulated",13,FALSE,"sim_1783"
3,27,1,"simulated",1,TRUE,"sim_1784"
3,31,2,"simulated",2,TRUE,"sim_1785"
3,9,1,"simulated",1,TRUE,"sim_1786"
3,54,1,"simulated",1,TRUE,"sim_1787"
4,48,5,"simulated",5,TRUE,"sim_1788"
5,85,11,"simulated",11,TRUE,"sim_1790"
4,61,7,"simulated",7,TRUE,"sim_1791"
3,13,1,"simulated",1,TRUE,"sim_1792"
6,105,17,"simulated",16,FALSE,"sim_1793"
3,22,1,"simulated",1,TRUE,"sim_1795"
5,70,7,"simulated",7,FALSE,"sim_1797"
6,121,15,"simulated",14,FALSE,"sim_1798"
4,104,10,"simulated",9,FALSE,"sim_1799"
3,22,1,"simulated",1,TRUE,"sim_1801"
3,34,4,"simulated",3,TRUE,"sim_1803"
5,55,8,"simulated",6,TRUE,"sim_1804"
3,31,2,"simulated",2,TRUE,"sim_1807"
4,26,3,"simulated",3,TRUE,"sim_1808"
3,40,1,"simulated",1,TRUE,"sim_1810"
3,17,1,"simulated",1,TRUE,"sim_1812"
3,51,1,"simulated",1,TRUE,"sim_1813"
3,44,3,"simulated",2,TRUE,"sim_1814"
4,87,7,"simulated",7,TRUE,"sim_1818"
4,68,6,"simulated",5,FALSE,"sim_1821"
3,52,2,"simulated",1,TRUE,"sim_1822"
12,150,33,"simulated",33,FALSE,"sim_1824"
3,41,2,"simulated",1,TRUE,"sim_1825"
3,44,1,"simulated",1,TRUE,"sim_1827"
4,79,7,"simulated",7,TRUE,"sim_1828"
3,25,3,"simulated",2,TRUE,"sim_1831"
4,43,7,"simulated",6,TRUE,"sim_1832"
3,21,1,"simulated",1,TRUE,"sim_1833"
3,24,1,"simulated",1,TRUE,"sim_1834"
3,16,1,"simulated",1,TRUE,"sim_1835"
4,53,5,"simulated",4,FALSE,"sim_1836"
3,48,1,"simulated",1,TRUE,"sim_1839"
4,67,7,"simulated",4,TRUE,"sim_1842"
8,139,17,"simulated",17,FALSE,"sim_1843"
3,22,1,"simulated",1,TRUE,"sim_1844"
4,66,6,"simulated",5,TRUE,"sim_1845"
3,15,1,"simulated",1,TRUE,"sim_1847"
4,64,5,"simulated",2,TRUE,"sim_1848"
3,21,2,"simulated",2,TRUE,"sim_1851"
4,53,6,"simulated",4,TRUE,"sim_1855"
4,48,4,"simulated",4,TRUE,"sim_1857"
5,76,9,"simulated",8,TRUE,"sim_1858"
6,109,18,"simulated",17,FALSE,"sim_1859"
4,47,7,"simulated",6,TRUE,"sim_1861"
4,59,4,"simulated",3,TRUE,"sim_1862"
11,171,31,"simulated",30,TRUE,"sim_1863"
5,52,8,"simulated",8,TRUE,"sim_1866"
3,45,2,"simulated",2,TRUE,"sim_1868"
10,98,21,"simulated",20,FALSE,"sim_1870"
4,62,9,"simulated",9,TRUE,"sim_1872"
4,57,6,"simulated",3,TRUE,"sim_1873"
4,39,4,"simulated",4,FALSE,"sim_1875"
3,24,2,"simulated",1,TRUE,"sim_1877"
3,30,1,"simulated",1,TRUE,"sim_1879"
4,76,5,"simulated",5,TRUE,"sim_1880"
3,28,1,"simulated",1,TRUE,"sim_1881"
3,43,2,"simulated",1,FALSE,"sim_1883"
4,67,6,"simulated",5,FALSE,"sim_1884"
3,46,2,"simulated",1,TRUE,"sim_1886"
3,11,2,"simulated",2,FALSE,"sim_1887"
3,12,1,"simulated",1,TRUE,"sim_1888"
3,24,4,"simulated",3,FALSE,"sim_1889"
3,29,1,"simulated",1,TRUE,"sim_1893"
3,27,1,"simulated",1,TRUE,"sim_1894"
23,295,62,"simulated",62,FALSE,"sim_1896"
3,45,3,"simulated",2,TRUE,"sim_1897"
3,38,2,"simulated",2,TRUE,"sim_1898"
4,68,2,"simulated",2,TRUE,"sim_1899"
4,57,4,"simulated",4,TRUE,"sim_1902"
3,45,3,"simulated",2,TRUE,"sim_1903"
5,77,12,"simulated",12,TRUE,"sim_1904"
3,44,4,"simulated",2,TRUE,"sim_1907"
5,84,12,"simulated",11,TRUE,"sim_1910"
3,19,1,"simulated",1,TRUE,"sim_1911"
9,106,23,"simulated",23,FALSE,"sim_1912"
3,38,1,"simulated",1,TRUE,"sim_1914"
4,60,7,"simulated",4,TRUE,"sim_1916"
3,37,2,"simulated",1,TRUE,"sim_1917"
3,27,1,"simulated",1,TRUE,"sim_1919"
3,58,2,"simulated",2,TRUE,"sim_1920"
3,25,1,"simulated",1,TRUE,"sim_1921"
5,103,11,"simulated",9,FALSE,"sim_1922"
4,60,5,"simulated",5,FALSE,"sim_1923"
3,54,3,"simulated",3,TRUE,"sim_1924"
4,30,5,"simulated",4,FALSE,"sim_1926"
3,11,1,"simulated",1,TRUE,"sim_1928"
3,24,1,"simulated",1,TRUE,"sim_1929"
3,24,2,"simulated",1,TRUE,"sim_1931"
3,24,2,"simulated",1,TRUE,"sim_1933"
3,34,2,"simulated",1,TRUE,"sim_1934"
5,54,5,"simulated",5,FALSE,"sim_1935"
3,18,1,"simulated",1,TRUE,"sim_1937"
5,99,13,"simulated",11,FALSE,"sim_1939"
4,55,6,"simulated",6,TRUE,"sim_1941"
4,31,3,"simulated",3,TRUE,"sim_1942"
4,43,4,"simulated",4,FALSE,"sim_1943"
3,21,1,"simulated",1,TRUE,"sim_1944"
3,21,2,"simulated",2,TRUE,"sim_1945"
3,29,1,"simulated",1,TRUE,"sim_1947"
4,32,5,"simulated",4,FALSE,"sim_1949"
4,38,4,"simulated",4,TRUE,"sim_1952"
4,32,5,"simulated",4,TRUE,"sim_1953"
3,30,2,"simulated",1,TRUE,"sim_1954"
3,16,3,"simulated",3,FALSE,"sim_1955"
3,40,4,"simulated",4,FALSE,"sim_1956"
6,53,8,"simulated",8,FALSE,"sim_1958"
3,28,3,"simulated",2,TRUE,"sim_1959"
3,43,3,"simulated",3,TRUE,"sim_1961"
5,42,8,"simulated",8,FALSE,"sim_1962"
8,80,17,"simulated",17,FALSE,"sim_1963"
6,67,12,"simulated",11,FALSE,"sim_1965"
3,33,2,"simulated",2,TRUE,"sim_1966"
4,44,6,"simulated",6,FALSE,"sim_1967"
3,11,1,"simulated",1,TRUE,"sim_1968"
3,13,2,"simulated",1,TRUE,"sim_1969"
3,22,1,"simulated",1,TRUE,"sim_1970"
4,51,7,"simulated",7,FALSE,"sim_1971"
3,30,1,"simulated",1,TRUE,"sim_1972"
3,16,1,"simulated",1,TRUE,"sim_1974"
4,46,8,"simulated",8,FALSE,"sim_1975"
3,32,2,"simulated",1,TRUE,"sim_1976"
4,36,6,"simulated",5,FALSE,"sim_1977"
3,20,1,"simulated",1,TRUE,"sim_1979"
5,19,5,"simulated",5,FALSE,"sim_1980"
4,56,7,"simulated",7,TRUE,"sim_1982"
7,79,17,"simulated",17,FALSE,"sim_1985"
4,51,6,"simulated",6,TRUE,"sim_1986"
3,20,1,"simulated",1,TRUE,"sim_1988"
6,70,12,"simulated",12,FALSE,"sim_1989"
3,49,4,"simulated",1,TRUE,"sim_1990"
3,35,3,"simulated",2,TRUE,"sim_1991"
4,27,3,"simulated",3,TRUE,"sim_1992"
9,84,22,"simulated",21,FALSE,"sim_1993"
4,38,4,"simulated",4,TRUE,"sim_1994"
5,67,16,"simulated",15,FALSE,"sim_1996"
7,91,16,"simulated",16,FALSE,"sim_1997"
3,41,2,"simulated",1,TRUE,"sim_1998"
6,62,11,"simulated",11,FALSE,"sim_1999"
3,19,2,"simulated",1,FALSE,"sim_2001"
4,36,7,"simulated",7,FALSE,"sim_2003"
3,31,2,"simulated",1,TRUE,"sim_2006"
3,17,1,"simulated",1,TRUE,"sim_2007"
4,38,5,"simulated",4,FALSE,"sim_2008"
3,16,1,"simulated",1,TRUE,"sim_2009"
3,26,3,"simulated",3,TRUE,"sim_2010"
6,50,13,"simulated",13,FALSE,"sim_2011"
4,28,4,"simulated",4,FALSE,"sim_2012"
3,29,1,"simulated",1,TRUE,"sim_2013"
3,33,2,"simulated",1,TRUE,"sim_2014"
3,24,2,"simulated",1,TRUE,"sim_2015"
3,16,1,"simulated",1,TRUE,"sim_2017"
3,31,4,"simulated",4,FALSE,"sim_2021"
4,58,6,"simulated",6,FALSE,"sim_2022"
4,33,3,"simulated",2,FALSE,"sim_2023"
8,58,20,"simulated",16,FALSE,"sim_2025"
3,28,2,"simulated",2,FALSE,"sim_2026"
3,25,2,"simulated",2,FALSE,"sim_2027"
3,23,2,"simulated",1,FALSE,"sim_2028"
3,37,1,"simulated",1,TRUE,"sim_2030"
6,52,9,"simulated",8,FALSE,"sim_2031"
3,29,1,"simulated",1,TRUE,"sim_2034"
4,33,5,"simulated",4,FALSE,"sim_2037"
9,89,21,"simulated",21,FALSE,"sim_2038"
4,9,3,"simulated",3,FALSE,"sim_2039"
4,37,4,"simulated",4,FALSE,"sim_2040"
5,54,8,"simulated",8,FALSE,"sim_2041"
4,35,3,"simulated",3,TRUE,"sim_2044"
27,153,79,"simulated",79,FALSE,"sim_2045"
3,31,2,"simulated",2,TRUE,"sim_2046"
3,29,1,"simulated",1,TRUE,"sim_2047"
5,70,14,"simulated",14,FALSE,"sim_2048"
4,26,3,"simulated",2,TRUE,"sim_2050"
6,48,10,"simulated",10,FALSE,"sim_2051"
5,46,6,"simulated",6,FALSE,"sim_2053"
3,21,1,"simulated",1,TRUE,"sim_2054"
3,12,2,"simulated",2,TRUE,"sim_2055"
3,23,2,"simulated",2,TRUE,"sim_2057"
3,36,4,"simulated",2,TRUE,"sim_2058"
4,49,7,"simulated",7,FALSE,"sim_2059"
7,63,17,"simulated",16,FALSE,"sim_2062"
5,85,10,"simulated",10,FALSE,"sim_2063"
3,22,1,"simulated",1,TRUE,"sim_2064"
3,24,2,"simulated",2,TRUE,"sim_2066"
3,15,1,"simulated",1,TRUE,"sim_2067"
4,69,8,"simulated",7,FALSE,"sim_2069"
3,42,2,"simulated",2,TRUE,"sim_2073"
3,15,2,"simulated",2,TRUE,"sim_2076"
3,19,1,"simulated",1,TRUE,"sim_2077"
3,19,2,"simulated",2,TRUE,"sim_2078"
3,30,1,"simulated",1,TRUE,"sim_2080"
3,9,1,"simulated",1,TRUE,"sim_2082"
3,14,1,"simulated",1,TRUE,"sim_2083"
3,14,1,"simulated",1,TRUE,"sim_2084"
3,33,4,"simulated",2,TRUE,"sim_2086"
4,50,11,"simulated",9,FALSE,"sim_2087"
4,42,7,"simulated",7,TRUE,"sim_2088"
3,12,1,"simulated",1,TRUE,"sim_2090"
3,15,1,"simulated",1,TRUE,"sim_2091"
3,26,2,"simulated",2,TRUE,"sim_2092"
3,38,3,"simulated",2,FALSE,"sim_2093"
4,16,2,"simulated",2,TRUE,"sim_2094"
6,85,20,"simulated",20,FALSE,"sim_2095"
3,23,2,"simulated",1,FALSE,"sim_2096"
3,29,1,"simulated",1,TRUE,"sim_2098"
4,31,4,"simulated",2,TRUE,"sim_2099"
3,16,1,"simulated",1,TRUE,"sim_2100"
3,40,1,"simulated",1,TRUE,"sim_2101"
10,100,27,"simulated",27,FALSE,"sim_2102"
4,16,4,"simulated",3,FALSE,"sim_2103"
3,15,2,"simulated",2,TRUE,"sim_2104"
5,50,10,"simulated",10,FALSE,"sim_2105"
3,41,1,"simulated",1,TRUE,"sim_2106"
3,25,2,"simulated",1,TRUE,"sim_2107"
5,49,11,"simulated",11,FALSE,"sim_2108"
3,7,1,"simulated",1,TRUE,"sim_2109"
3,24,2,"simulated",2,TRUE,"sim_2110"
3,37,2,"simulated",2,FALSE,"sim_2111"
3,35,2,"simulated",2,TRUE,"sim_2113"
3,31,2,"simulated",1,TRUE,"sim_2114"
4,54,7,"simulated",4,TRUE,"sim_2117"
4,49,8,"simulated",8,TRUE,"sim_2121"
4,49,5,"simulated",4,TRUE,"sim_2122"
8,74,17,"simulated",16,FALSE,"sim_2123"
3,33,1,"simulated",1,TRUE,"sim_2124"
5,53,9,"simulated",8,FALSE,"sim_2125"
4,39,4,"simulated",4,FALSE,"sim_2126"
5,47,7,"simulated",7,TRUE,"sim_2128"
4,14,2,"simulated",2,TRUE,"sim_2129"
5,44,6,"simulated",6,TRUE,"sim_2130"
4,43,6,"simulated",6,TRUE,"sim_2132"
4,45,5,"simulated",3,FALSE,"sim_2133"
4,47,8,"simulated",7,TRUE,"sim_2134"
3,35,1,"simulated",1,TRUE,"sim_2135"
4,29,4,"simulated",3,FALSE,"sim_2136"
3,8,1,"simulated",1,TRUE,"sim_2138"
4,31,4,"simulated",4,FALSE,"sim_2141"
3,11,1,"simulated",1,TRUE,"sim_2142"
3,17,1,"simulated",1,TRUE,"sim_2143"
3,10,2,"simulated",2,TRUE,"sim_2145"
3,34,2,"simulated",2,TRUE,"sim_2146"
7,62,14,"simulated",14,FALSE,"sim_2149"
3,32,3,"simulated",2,TRUE,"sim_2150"
3,27,1,"simulated",1,TRUE,"sim_2151"
5,68,13,"simulated",13,FALSE,"sim_2152"
3,26,1,"simulated",1,TRUE,"sim_2154"
4,18,3,"simulated",3,FALSE,"sim_2155"
3,20,1,"simulated",1,TRUE,"sim_2156"
3,18,2,"simulated",1,TRUE,"sim_2157"
3,15,2,"simulated",2,TRUE,"sim_2158"
3,49,5,"simulated",3,FALSE,"sim_2159"
3,38,3,"simulated",2,TRUE,"sim_2162"
4,39,3,"simulated",2,TRUE,"sim_2164"
3,40,3,"simulated",2,TRUE,"sim_2170"
7,73,16,"simulated",16,FALSE,"sim_2171"
3,49,4,"simulated",3,FALSE,"sim_2172"
5,51,9,"simulated",9,FALSE,"sim_2173"
7,73,18,"simulated",18,FALSE,"sim_2174"
6,72,16,"simulated",15,FALSE,"sim_2175"
3,12,1,"simulated",1,TRUE,"sim_2176"
4,10,2,"simulated",2,TRUE,"sim_2177"
7,99,21,"simulated",21,FALSE,"sim_2178"
3,50,5,"simulated",4,FALSE,"sim_2179"
7,86,14,"simulated",14,FALSE,"sim_2184"
4,61,6,"simulated",6,TRUE,"sim_2185"
4,42,5,"simulated",5,FALSE,"sim_2186"
3,4,1,"simulated",1,TRUE,"sim_2187"
3,21,2,"simulated",1,TRUE,"sim_2188"
3,14,2,"simulated",2,FALSE,"sim_2189"
8,77,18,"simulated",18,FALSE,"sim_2190"
4,21,3,"simulated",3,FALSE,"sim_2192"
3,28,1,"simulated",1,TRUE,"sim_2193"
3,13,1,"simulated",1,TRUE,"sim_2195"
6,66,15,"simulated",15,FALSE,"sim_2196"
3,21,1,"simulated",1,TRUE,"sim_2197"
4,30,4,"simulated",4,TRUE,"sim_2199"
3,16,1,"simulated",1,TRUE,"sim_2200"
3,8,1,"simulated",1,TRUE,"sim_2201"
7,54,13,"simulated",13,FALSE,"sim_2202"
4,26,3,"simulated",3,FALSE,"sim_2203"
3,26,1,"simulated",1,TRUE,"sim_2206"
7,76,14,"simulated",14,FALSE,"sim_2207"
4,42,4,"simulated",4,TRUE,"sim_2209"
3,31,2,"simulated",2,TRUE,"sim_2210"
4,57,6,"simulated",5,TRUE,"sim_2211"
3,64,3,"simulated",2,TRUE,"sim_2212"
3,63,5,"simulated",2,FALSE,"sim_2213"
5,58,14,"simulated",12,FALSE,"sim_2214"
4,57,8,"simulated",5,FALSE,"sim_2216"
9,102,18,"simulated",18,FALSE,"sim_2219"
3,20,1,"simulated",1,TRUE,"sim_2220"
3,16,1,"simulated",1,TRUE,"sim_2222"
3,26,2,"simulated",2,TRUE,"sim_2227"
3,24,2,"simulated",2,TRUE,"sim_2228"
4,28,5,"simulated",4,TRUE,"sim_2230"
4,55,6,"simulated",6,TRUE,"sim_2231"
3,8,1,"simulated",1,TRUE,"sim_2233"
3,47,3,"simulated",3,TRUE,"sim_2237"
5,48,11,"simulated",11,FALSE,"sim_2238"
3,14,1,"simulated",1,TRUE,"sim_2239"
10,123,26,"simulated",26,FALSE,"sim_2241"
3,26,1,"simulated",1,TRUE,"sim_2242"
3,12,1,"simulated",1,TRUE,"sim_2243"
4,46,5,"simulated",5,FALSE,"sim_2244"
3,29,3,"simulated",2,TRUE,"sim_2245"
6,65,12,"simulated",12,FALSE,"sim_2246"
3,18,2,"simulated",1,FALSE,"sim_2247"
3,17,2,"simulated",2,TRUE,"sim_2248"
4,36,6,"simulated",4,FALSE,"sim_2250"
3,15,1,"simulated",1,TRUE,"sim_2256"
3,34,2,"simulated",2,TRUE,"sim_2258"
3,30,2,"simulated",2,TRUE,"sim_2259"
3,20,2,"simulated",1,TRUE,"sim_2260"
4,44,5,"simulated",5,FALSE,"sim_2262"
5,67,12,"simulated",10,FALSE,"sim_2263"
3,29,3,"simulated",3,FALSE,"sim_2265"
4,36,5,"simulated",4,FALSE,"sim_2268"
4,24,3,"simulated",3,FALSE,"sim_2269"
4,34,3,"simulated",3,FALSE,"sim_2273"
4,37,4,"simulated",4,FALSE,"sim_2274"
3,16,2,"simulated",1,TRUE,"sim_2277"
4,44,5,"simulated",4,FALSE,"sim_2278"
3,13,3,"simulated",2,FALSE,"sim_2279"
3,27,2,"simulated",1,TRUE,"sim_2280"
4,24,3,"simulated",3,TRUE,"sim_2281"
3,27,1,"simulated",1,TRUE,"sim_2282"
7,58,19,"simulated",19,FALSE,"sim_2283"
4,26,4,"simulated",4,FALSE,"sim_2284"
5,47,11,"simulated",9,FALSE,"sim_2285"
3,28,1,"simulated",1,TRUE,"sim_2287"
3,24,1,"simulated",1,TRUE,"sim_2288"
3,17,1,"simulated",1,TRUE,"sim_2290"
3,18,2,"simulated",1,TRUE,"sim_2291"
3,33,2,"simulated",1,TRUE,"sim_2292"
4,46,7,"simulated",7,FALSE,"sim_2295"
18,136,47,"simulated",47,FALSE,"sim_2296"
3,7,1,"simulated",1,TRUE,"sim_2297"
3,10,1,"simulated",1,TRUE,"sim_2300"
7,90,15,"simulated",14,FALSE,"sim_2301"
3,38,4,"simulated",1,TRUE,"sim_2303"
6,48,9,"simulated",8,TRUE,"sim_2304"
5,63,6,"simulated",6,FALSE,"sim_2305"
11,103,28,"simulated",27,FALSE,"sim_2306"
5,39,8,"simulated",8,FALSE,"sim_2307"
3,25,1,"simulated",1,TRUE,"sim_2309"
3,26,2,"simulated",1,TRUE,"sim_2310"
6,73,11,"simulated",11,FALSE,"sim_2311"
3,31,3,"simulated",3,TRUE,"sim_2312"
4,23,3,"simulated",3,FALSE,"sim_2314"
3,35,1,"simulated",1,TRUE,"sim_2316"
7,103,23,"simulated",23,FALSE,"sim_2317"
12,96,29,"simulated",29,FALSE,"sim_2319"
8,90,18,"simulated",18,FALSE,"sim_2320"
8,68,18,"simulated",18,FALSE,"sim_2321"
3,49,3,"simulated",2,TRUE,"sim_2324"
3,44,4,"simulated",4,TRUE,"sim_2326"
3,24,4,"simulated",4,TRUE,"sim_2327"
4,26,2,"simulated",2,TRUE,"sim_2329"
4,43,4,"simulated",4,TRUE,"sim_2330"
4,26,2,"simulated",2,TRUE,"sim_2331"
3,17,1,"simulated",1,TRUE,"sim_2332"
3,13,1,"simulated",1,TRUE,"sim_2333"
3,30,3,"simulated",3,TRUE,"sim_2335"
3,20,3,"simulated",2,FALSE,"sim_2337"
5,56,8,"simulated",8,FALSE,"sim_2338"
4,28,2,"simulated",2,TRUE,"sim_2339"
