clustersize,grp
4,1
3,1
2,1
5,1
6,1
4,1
5,1
4,1
5,1
4,1
6,1
5,1
8,1
6,1
5,1
3,1
4,1
3,1
3,1
5,1
4,1
4,1
5,1
8,1
7,1
4,1
4,1
5,1
4,1
5,1
8,1
10,1
17,1
23,1
17,1
4,1
6,1
5,1
2,1
11,1
9,1
9,1
11,1
9,1
4,1
7,1
7,1
4,1
4,1
3,1
5,1
5,1
5,1
5,1
3,1
4,1
4,1
5,1
4,1
4,1
6,1
7,1
5,1
4,1
7,1
6,1
9,1
16,1
22,1
15,1
16,1
13,1
6,1
9,1
4,1
3,1
9,1
12,1
14,1
13,1
12,1
13,1
16,1
4,1
4,1
5,1
6,1
7,1
4,1
4,1
5,1
4,1
2,1
2,1
2,1
2,1
5,1
4,1
4,1
5,1
4,1
10,1
5,1
8,1
4,1
2,1
2,1
4,1
5,1
9,1
9,1
9,1
8,1
7,1
10,1
9,1
9,1
5,1
6,1
9,1
7,1
4,1
3,1
5,1
7,1
9,1
4,1
4,1
5,1
5,1
4,1
4,1
8,1
8,1
9,1
8,1
5,1
5,1
5,1
11,1
10,1
10,1
11,1
7,1
6,1
5,1
5,1
10,1
6,1
6,1
4,1
7,1
2,1
4,1
4,1
4,1
5,1
4,1
4,1
4,1
6,1
5,1
6,1
8,1
9,1
15,1
14,1
5,1
4,1
5,1
4,1
7,1
7,1
6,1
5,1
4,1
4,1
5,1
2,1
5,1
4,1
4,1
4,1
4,1
5,1
6,1
5,1
8,1
13,1
14,1
13,1
5,1
5,1
4,1
5,1
4,1
8,1
9,1
2,1
2,1
2,1
6,1
4,1
5,1
6,1
5,1
4,1
10,1
7,1
5,1
3,1
4,1
5,1
8,1
10,1
5,1
5,1
4,1
30,1
24,1
23,1
18,1
14,1
13,1
6,1
8,1
5,1
2,1
4,1
4,1
2,1
3,1
4,1
5,1
9,1
5,1
4,1
4,1
5,1
5,1
4,1
5,1
4,1
12,1
10,1
10,1
6,1
6,1
10,1
5,1
5,1
7,1
4,1
3,1
5,1
4,1
5,1
3,1
8,1
4,1
5,1
3,1
5,1
4,1
2,1
4,1
5,1
6,1
5,1
5,1
4,1
8,1
8,1
19,1
7,1
4,1
11,1
5,1
4,1
7,1
4,1
6,1
5,1
3,1
3,1
8,1
10,1
6,1
5,1
4,1
3,1
5,1
5,1
4,1
4,1
4,1
4,1
5,1
4,1
6,1
5,1
4,1
3,1
2,1
5,1
4,1
5,1
4,1
2,1
2,1
2,1
4,1
6,1
5,1
18,1
10,1
5,1
5,1
9,1
12,1
7,1
5,1
5,1
4,1
2,1
3,1
4,1
8,1
14,1
46,1
30,1
25,1
20,1
6,1
5,1
5,1
4,1
4,1
3,1
2,1
4,1
3,1
4,1
8,1
4,1
4,1
6,1
4,1
4,1
3,1
6,1
7,1
4,1
4,1
5,1
4,1
4,1
4,1
4,1
6,1
4,1
4,1
4,1
5,1
4,1
4,1
2,1
2,1
9,1
4,1
7,1
11,1
9,1
5,1
2,1
5,1
8,1
4,1
6,1
4,1
4,1
6,1
5,1
2,1
4,1
7,1
6,1
7,1
5,1
4,1
4,1
5,1
4,1
4,1
10,1
7,1
4,1
4,1
2,1
6,1
2,1
4,1
4,1
5,1
5,1
6,1
5,1
5,1
4,1
3,1
2,1
5,1
4,1
4,1
5,1
2,1
2,1
5,1
4,1
6,1
6,1
5,1
5,1
4,1
2,1
5,1
6,1
5,1
7,1
5,1
4,1
9,1
5,1
5,1
2,1
3,1
4,1
5,1
7,1
5,1
5,1
6,1
10,1
6,1
5,1
4,1
4,1
4,1
4,1
5,1
4,1
2,1
4,1
5,1
4,1
16,1
24,1
11,1
5,1
6,1
7,1
4,1
2,1
5,1
7,1
6,1
8,1
4,1
6,1
4,1
4,1
12,1
5,1
4,1
5,1
11,1
6,1
5,1
13,1
8,1
7,1
8,1
6,1
4,1
16,1
7,1
5,1
5,1
2,1
5,1
4,1
4,1
4,1
4,1
6,1
5,1
4,1
6,1
4,1
5,1
7,1
4,1
2,1
4,1
4,1
4,1
4,1
2,1
11,1
8,1
5,1
4,1
5,1
4,1
4,1
2,1
2,1
5,1
17,1
14,1
6,1
4,1
7,1
5,1
4,1
2,1
7,1
5,1
4,1
5,1
5,1
4,1
5,1
4,1
4,1
6,1
4,1
4,1
4,1
5,1
6,1
6,1
2,1
2,1
2,1
6,1
4,1
5,1
5,1
7,1
5,1
2,1
6,1
6,1
5,1
4,1
4,1
4,1
4,1
2,1
2,1
12,1
4,1
10,1
5,1
5,1
5,1
7,1
5,1
5,1
4,1
4,1
4,1
5,1
5,1
5,1
4,1
4,1
4,1
5,1
4,1
8,1
4,1
5,1
5,1
2,1
5,1
8,1
5,1
15,1
9,1
7,1
5,1
4,1
6,1
6,1
8,1
5,1
4,1
8,1
5,1
5,1
21,1
5,1
10,1
7,1
4,1
4,1
4,1
31,1
21,1
7,1
15,1
20,1
11,1
5,1
4,1
6,1
30,1
4,1
23,1
25,1
35,1
54,1
43,1
35,1
34,1
29,1
26,1
38,1
24,1
24,1
30,1
5,1
4,1
6,1
4,1
3,1
4,1
2,1
22,1
5,1
3,1
5,1
12,1
2,1
4,1
5,1
2,1
4,1
6,1
4,1
4,1
2,1
3,1
44,1
43,1
6,1
9,1
2,1
8,1
4,1
3,1
2,1
2,2
3,2
4,2
2,2
3,2
5,2
2,2
3,2
2,2
3,2
2,2
4,2
2,2
3,2
4,2
2,2
4,2
2,2
4,2
2,2
3,2
4,2
2,2
3,2
4,2
2,2
3,2
4,2
2,2
3,2
4,2
2,2
3,2
4,2
2,2
3,2
6,2
2,2
2,2
2,2
2,2
2,2
2,2
2,2
2,2
2,2
2,2
2,2
3,2
4,2
2,2
3,2
3,2
2,2
2,2
2,2
2,2
3,2
3,2
2,2
3,2
2,2
3,2
4,2
2,2
3,2
4,2
2,2
3,2
4,2
2,2
3,2
5,2
2,2
2,2
2,2
2,2
2,2
2,2
2,2
2,2
2,2
2,2
2,2
2,2
2,2
2,2
2,2
3,2
4,2
2,2
4,2
2,2
4,2
2,2
3,2
4,2
3,2
3,2
4,2
3,2
2,2
2,2
3,2
4,2
6,2
4,2
6,2
4,2
6,2
4,2
6,2
4,2
5,2
4,2
5,2
5,2
4,2
5,2
5,2
6,2
5,2
5,2
4,2
5,2
4,2
7,2
9,2
5,2
4,2
5,2
4,2
5,2
4,2
5,2
4,2
5,2
4,2
9,2
4,2
6,2
4,2
6,2
5,2
4,2
5,2
4,2
5,2
4,2
10,2
4,2
6,2
5,2
4,2
5,2
4,2
5,2
4,2
9,2
4,2
5,2
4,2
5,2
4,2
5,2
4,2
5,2
4,2
5,2
4,2
5,2
4,2
5,2
4,2
10,2
4,2
5,2
4,2
5,2
4,2
5,2
4,2
5,2
4,2
5,2
4,2
4,2
5,2
4,2
5,2
4,2
6,2
4,2
5,2
4,2
5,2
4,2
4,2
5,2
4,2
10,2
4,2
5,2
4,2
7,2
4,2
8,2
4,2
4,2
5,2
4,2
5,2
4,2
5,2
4,2
5,2
4,2
10,2
4,2
8,2
4,2
6,2
4,2
5,2
4,2
5,2
4,2
5,2
4,2
5,2
5,2
6,2
4,2
5,2
4,2
5,2
4,2
5,2
4,2
6,2
4,2
7,2
4,2
8,2
4,2
5,2
4,2
5,2
4,2
8,2
4,2
6,2
4,2
4,2
5,2
4,2
5,2
4,2
5,2
4,2
5,2
4,2
7,2
4,2
5,2
4,2
5,2
4,2
10,2
4,2
5,2
4,2
4,2
10,2
4,2
10,2
4,2
5,2
4,2
7,2
4,2
7,2
4,2
5,2
4,2
8,2
4,2
5,2
4,2
4,2
5,2
4,2
4,2
4,2
7,2
4,2
5,2
4,2
4,2
4,2
5,2
4,2
5,2
4,2
5,2
4,2
6,2
4,2
5,2
4,2
5,2
4,2
5,2
4,2
5,2
4,2
6,2
4,2
4,2
9,2
4,2
5,2
4,2
7,2
4,2
5,2
4,2
5,2
4,2
7,2
4,2
10,2
4,2
7,2
4,2
5,2
4,2
6,2
4,2
5,2
4,2
5,2
4,2
7,2
4,2
5,2
5,2
4,2
5,2
4,2
5,2
4,2
10,2
4,2
5,2
4,2
4,2
4,2
7,2
4,2
7,2
4,2
5,2
4,2
5,2
4,2
5,2
4,2
5,2
4,2
7,2
4,2
6,2
4,2
4,2
4,2
9,2
4,2
5,2
4,2
5,2
4,2
7,2
4,2
5,2
4,2
9,2
4,2
4,2
5,2
4,2
5,2
4,2
5,2
4,2
5,2
4,2
6,2
4,2
8,2
4,2
5,2
4,2
5,2
4,2
6,2
4,2
5,2
4,2
4,2
5,2
4,2
7,2
4,2
4,2
5,2
5,2
5,2
6,2
9,2
5,2
4,2
4,2
4,2
4,2
8,2
4,2
7,2
4,2
7,2
5,2
6,2
5,2
5,2
5,2
5,2
4,2
5,2
5,2
8,2
4,2
5,2
5,2
9,2
5,2
5,2
5,2
5,2
4,2
4,2
3,2
3,2
6,2
5,2
6,2
4,2
7,2
5,2
5,2
5,2
7,2
8,2
4,2
5,2
5,2
5,2
9,2
6,2
5,2
6,2
5,2
8,2
7,2
6,2
7,2
5,2
10,2
7,2
8,2
8,2
5,2
7,2
8,2
5,2
10,2
5,2
6,2
7,2
5,2
5,2
8,2
7,2
5,2
7,2
5,2
5,2
9,2
5,2
6,2
9,2
6,2
8,2
6,2
5,2
6,2
7,2
5,2
5,2
7,2
5,2
5,2
5,2
5,2
5,2
6,2
5,2
8,2
5,2
6,2
6,2
6,2
6,2
10,2
6,2
6,2
6,2
8,2
7,2
6,2
6,2
5,2
6,2
5,2
5,2
6,2
5,2
8,2
7,2
6,2
5,2
4,2
7,2
5,2
6,2
6,2
8,2
6,2
6,2
6,2
8,2
6,2
5,2
5,2
6,2
5,2
6,2
8,2
6,2
5,2
6,2
9,2
6,2
9,2
9,2
5,2
7,2
8,2
5,2
9,2
6,2
8,2
6,2
5,2
8,2
4,2
5,2
9,2
5,2
8,2
5,2
9,2
6,2
9,2
8,2
6,2
9,2
9,2
7,2
9,2
8,2
7,2
10,2
10,2
8,2
7,2
5,2
7,2
7,2
9,2
5,2
10,2
7,2
8,2
10,2
5,2
10,2
7,2
8,2
5,2
8,2
9,2
10,2
8,2
10,2
6,2
10,2
10,2
6,2
10,2
8,2
8,2
9,2
8,2
7,2
7,2
7,2
7,2
7,2
7,2
6,2
7,2
6,2
10,2
8,2
7,2
9,2
8,2
10,2
9,2
9,2
8,2
10,2
9,2
8,2
9,2
8,2
7,2
7,2
9,2
8,2
7,2
6,2
7,2
8,2
8,2
6,2
7,2
8,2
7,2
8,2
7,2
8,2
7,2
8,2
10,2
9,2
7,2
8,2
7,2
10,2
9,2
7,2
10,2
8,2
7,2
10,2
9,2
8,2
9,2
10,2
9,2
5,2
8,2
8,2
7,2
9,2
6,2
8,2
6,2
10,2
8,2
8,2
9,2
5,2
8,2
9,2
8,2
10,2
9,2
9,2
9,2
8,2
7,2
7,2
7,2
8,2
6,2
10,2
9,2
5,2
8,2
7,2
9,2
9,2
6,2
5,2
9,2
6,2
8,2
10,2
7,2
9,2
9,2
9,2
6,2
8,2
10,2
8,2
7,2
7,2
7,2
8,2
8,2
9,2
10,2
9,2
6,2
9,2
7,2
8,2
7,2
8,2
7,2
7,2
10,2
6,2
6,2
6,2
9,2
9,2
8,2
8,2
7,2
6,2
10,2
8,2
6,2
6,2
8,2
7,2
9,2
10,2
8,2
9,2
8,2
7,2
8,2
9,2
9,2
8,2
7,2
7,2
8,2
7,2
6,2
7,2
4,2
6,2
8,2
10,2
7,2
10,2
6,2
7,2
10,2
8,2
6,2
7,2
6,2
6,2
8,2
6,2
7,2
5,2
8,2
8,2
9,2
10,2
8,2
7,2
9,2
9,2
8,2
8,2
7,2
6,2
6,2
7,2
5,2
9,2
9,2
7,2
7,2
9,2
5,2
8,2
8,2
9,2
7,2
4,2
6,2
9,2
8,2
8,2
6,2
7,2
10,2
10,2
9,2
6,2
8,2
5,2
7,2
7,2
4,2
6,2
9,2
8,2
9,2
8,2
7,2
7,2
10,2
8,2
3,2
7,2
8,2
9,2
9,2
8,2
10,2
6,2
8,2
5,2
10,2
8,2
9,2
10,2
9,2
8,2
9,2
7,2
5,2
10,2
8,2
7,2
7,2
7,2
9,2
8,2
6,2
7,2
8,2
7,2
10,2
6,2
10,2
8,2
8,2
9,2
7,2
7,2
7,2
6,2
6,2
9,2
9,2
8,2
6,2
8,2
6,2
5,2
7,2
4,2
7,2
8,2
10,2
6,2
7,2
10,2
3,2
9,2
8,2
6,2
9,2
7,2
7,2
6,2
7,2
5,2
7,2
4,2
7,2
9,2
9,2
8,2
10,2
6,2
7,2
10,2
9,2
5,2
8,2
6,2
8,2
6,2
10,2
9,2
9,2
8,2
7,2
6,2
9,2
8,2
10,2
7,2
8,2
7,2
7,2
10,2
6,2
8,2
7,2
9,2
7,2
9,2
9,2
6,2
6,2
8,2
9,2
9,2
8,2
10,2
6,2
9,2
7,2
9,2
8,2
7,2
7,2
6,2
8,2
9,2
8,2
7,2
5,2
7,2
7,2
8,2
10,2
7,2
8,2
7,2
10,2
6,2
8,2
6,2
7,2
8,2
9,2
6,2
7,2
10,2
8,2
9,2
10,2
8,2
10,2
10,2
7,2
9,2
9,2
8,2
7,2
6,2
5,2
4,2
3,2
2,2
1,2
2,3
2,3
4,3
3,3
3,3
2,3
3,3
2,3
2,3
2,3
2,3
3,3
2,3
4,3
4,3
3,3
4,3
4,3
5,3
7,3
6,3
7,3
6,3
6,3
5,3
4,3
3,3
2,3
4,3
3,3
3,3
2,3
2,3
2,3
4,3
2,3
3,3
4,3
4,3
3,3
2,4
3,4
2,4
3,4
2,4
3,4
2,4
3,4
3,4
2,4
3,4
3,4
2,4
2,4
3,4
2,4
3,4
3,4
2,4
3,4
2,4
2,4
2,4
3,4
2,4
2,4
3,4
2,4
3,4
2,4
2,4
2,4
3,4
3,4
2,4
2,4
3,4
3,4
2,4
3,4
2,4
3,4
3,4
2,4
2,4
2,4
3,4
2,4
2,4
2,4
3,4
2,4
2,4
3,4
3,4
1,4
